Metadata_Experiment,Metadata_Date,Metadata_Plate,Metadata_Well,Metadata_Group,Metadata_Magnification,Image_FileName_RawBF,Image_PathName_RawBF,Image_FileName_20250209_well_mask.png,Image_PathName_20250209_well_mask.png
testproject,20220420,p002,A01,p002_A01,m2X,20220420-testproject-p002-m2X_A01_w1.TIF,/home1/hmohammedshe2021/cellprofiler-nf/input_data/20220420_testproject/raw_images/,20250209_well_mask.png,/home1/hmohammedshe2021/cellprofiler-nf/input_data/well_masks/
testproject,20220420,p002,A01,p002_A01,m2X,20220420-testproject-p002-m2X_A01_w2.TIF,/home1/hmohammedshe2021/cellprofiler-nf/input_data/20220420_testproject/raw_images/,20250209_well_mask.png,/home1/hmohammedshe2021/cellprofiler-nf/input_data/well_masks/
testproject,20220420,p002,A02,p002_A02,m2X,20220420-testproject-p002-m2X_A02_w1.TIF,/home1/hmohammedshe2021/cellprofiler-nf/input_data/20220420_testproject/raw_images/,20250209_well_mask.png,/home1/hmohammedshe2021/cellprofiler-nf/input_data/well_masks/
testproject,20220420,p002,A02,p002_A02,m2X,20220420-testproject-p002-m2X_A02_w2.TIF,/home1/hmohammedshe2021/cellprofiler-nf/input_data/20220420_testproject/raw_images/,20250209_well_mask.png,/home1/hmohammedshe2021/cellprofiler-nf/input_data/well_masks/
testproject,20220420,p002,B01,p002_B01,m2X,20220420-testproject-p002-m2X_B01_w1.TIF,/home1/hmohammedshe2021/cellprofiler-nf/input_data/20220420_testproject/raw_images/,20250209_well_mask.png,/home1/hmohammedshe2021/cellprofiler-nf/input_data/well_masks/
testproject,20220420,p002,B01,p002_B01,m2X,20220420-testproject-p002-m2X_B01_w2.TIF,/home1/hmohammedshe2021/cellprofiler-nf/input_data/20220420_testproject/raw_images/,20250209_well_mask.png,/home1/hmohammedshe2021/cellprofiler-nf/input_data/well_masks/
